,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC,Fluorophore
F9,3194.5917311981448,3324.303996844116,3471.910913423538,3618.783414105254,424.1916829071092,0.9464032304141365,53.99984945612778,64.48525372185559,53.34,54.66,1.3199999999999932,Texas Red
F10,3168.633481371648,3265.9219115263827,3300.6031648758117,3417.1223554536637,248.48887408201563,0.9773633990479293,53.99994822492718,15.608594560810626,53.32,54.68,1.3599999999999994,Texas Red
F11,3270.739369510489,3340.0438943015697,3361.4010404171354,3486.1100849984728,215.37071548798394,0.9873636139861242,42.91601506247269,6.814004357345215,40.03,45.8,5.769999999999996,Texas Red
F12,3132.1735460155137,3257.7089617490205,3270.267461946486,3299.283454675244,167.10990865973008,0.6819437314216885,33.10661740837215,10.270294829682985,28.84,37.37,8.529999999999998,Texas Red
F13,3153.5690979044125,3277.721128699266,3289.0248514156624,3315.6595826529574,162.0904847485449,0.7204972178412485,31.30385805340694,8.75639387265145,27.53,35.08,7.549999999999997,Texas Red
F14,3243.0688267840983,3333.149839178291,3335.410011768723,3445.737263494694,202.66843671059587,0.97430122094259,53.999894276100946,1.7021020686541382,53.34,54.66,1.3199999999999932,Texas Red
F15,3244.0956525690435,3262.585081364302,3276.036246892784,3297.604474611242,53.50882204219852,0.007686234465640873,53.999952160616864,5.929464573536735,53.34,54.66,1.3199999999999932,Texas Red
F16,3228.2561368713004,3283.3388592584997,3288.3810983575067,3403.1916873885625,174.93555051726207,0.975853704844401,38.85254460931292,2.7859337927035246,38.19,39.51,1.3200000000000003,Texas Red
F17,3215.9492780969395,3272.4931233647767,3275.4537907740773,3384.2925251823312,168.3432470853918,0.9787556866751388,41.14213298103454,1.8752413744469434,40.48,41.8,1.3200000000000003,Texas Red
F18,3168.7984578942433,3215.0293995379548,3218.1451965087267,3320.1357986873027,151.3373407930594,0.9657375239011678,37.505706054150494,1.8882435637394277,36.85,38.16,1.3099999999999952,Texas Red
F19,3039.309462243015,3215.0886122936254,3224.4989254715597,3267.1298149620116,227.82035271899667,0.8946362660031241,30.702820738533738,8.95102814152785,27.07,34.33,7.259999999999998,Texas Red
F20,3027.7573782560044,3200.555589756833,3206.130887874461,3258.2943123516416,230.5369340956372,0.8488706014576034,31.540727786736834,3.835131979397672,29.61,33.47,3.8599999999999994,Texas Red
F21,3189.236713632072,3428.616854566598,3914.818785035157,4168.797419466026,979.5607058339542,0.9744684675026504,53.999838077236404,209.50221281037096,52.25,55.75,3.5,Texas Red
F22,2999.123283082128,3174.620046667864,3185.519563645091,3222.216166348496,223.0928832663676,0.8901555284656948,30.34275535620934,12.104082299582561,25.55,35.14,9.59,Texas Red
F23,3191.2846113624846,3266.0411760937955,3288.9723227219197,3378.7735065723627,187.48889520987814,0.9610015682244671,53.999999955510205,10.487205072381004,53.34,54.66,1.3199999999999932,Texas Red
F24,3300.9569354957484,3418.6825686184325,3422.292430132188,3566.4233086265667,265.4663731308183,0.2857943272262754,53.99996213682818,2.5061270027792437,53.34,54.66,1.3199999999999932,Texas Red
G1,2993.984220143242,3136.046165765164,3163.173591880578,3175.7160190262316,181.73179888298955,0.7731752971486403,34.979907437714274,30.463452488831795,25.54,44.42,18.880000000000003,Texas Red
G2,3055.1534519245974,3215.2229895041683,3240.2564837732402,3271.551733158922,216.3982812343247,0.7829361452868057,35.444958276640754,21.989306469257535,29.38,41.51,12.129999999999999,Texas Red
G3,3131.151887915445,3179.5177378982357,3183.1580155661395,3280.1058488391936,148.95396092374858,0.9439557347699463,39.947251211498624,2.0939852504541716,39.29,40.61,1.3200000000000003,Texas Red
G4,3120.9720234546858,3169.909007317578,3175.487503147112,3273.2103077409656,152.23828428627985,0.9760049327476884,40.06098272004754,2.5792852498681906,39.06,41.06,2.0,Texas Red
G5,3028.120811524205,3151.8780507855818,3175.468634824047,3190.8144629507615,162.6936514265567,0.8472767271606165,34.38764790551653,20.819791208144533,27.45,41.32,13.870000000000001,Texas Red
G6,3123.1310689211145,3187.0506971263076,3396.494368338534,3460.2360723606544,337.1050034395398,0.9917498040328249,40.3918390971113,93.23898246919731,37.61,43.18,5.57,Texas Red
G7,3035.047739017546,3145.427288723753,3166.794174408132,3179.5479904867707,144.50025146922462,0.8149681380072594,33.802290012984734,17.98898030574517,27.24,40.36,13.120000000000001,Texas Red
G8,3183.758953532822,3204.0041756948904,3210.858638037474,3214.734570696195,30.975617163373045,0.04941024809438277,38.04414745832581,3.0662524398144613,36.59,39.5,2.9099999999999966,Texas Red
G9,3027.4499286336886,3155.1614393562227,3176.8450253337637,3209.361527960298,181.91159932660958,0.7930305803063443,36.564274073299536,13.426369191084628,33.11,40.02,6.910000000000004,Texas Red
G10,2971.9594142671244,3157.0478565441517,3178.017462652826,3227.7310732057886,255.77165893866413,0.8675478880592163,36.094332858620014,18.18222556540358,31.23,40.96,9.73,Texas Red
G11,3207.972417018571,3316.709155886224,3379.0476773993137,3507.3219317137523,299.34951469518137,0.9755108967886379,53.99991282298546,27.572478710696313,53.31,54.69,1.3799999999999955,Texas Red
G12,3218.327595113373,3322.628544749951,3326.5268287472704,3454.1640239606427,235.83642884726987,0.4341769786398172,53.999999029683664,2.5210067819728907,53.34,54.66,1.3199999999999932,Texas Red
G13,3116.573938287276,3210.833992583835,3223.0216559691917,3237.576426422273,121.00248813499684,0.6121272206056237,29.668032472380418,7.853302830689931,26.25,33.09,6.840000000000003,Texas Red
G14,3151.28389410804,3219.3580567303115,3248.530071206863,3250.9824046309755,99.69851052293552,0.8143626948221665,34.456261918267856,20.94194577154873,26.87,42.04,15.169999999999998,Texas Red
G15,3201.0085640529364,3322.6116825541785,3458.3618067551506,3596.309291208659,395.3007271557226,0.9315904932414265,53.99993116279963,59.271100430216485,53.34,54.66,1.3199999999999932,Texas Red
G16,3100.4592554982137,3219.5112525949426,3234.209308086322,3258.4366758050924,157.97742030687868,0.7342990746949214,32.78164564414149,11.029490448221084,28.53,37.03,8.5,Texas Red
