,F_0,F_1,F_2,F_max,deltaF,R2_score,C_half,dFdC_half,C_lift,C_slow,deltaC,Fluorophore
E9,5272.128119049582,10391.589800390682,23562.22241405605,28996.715752638327,23724.587633588744,0.9976425649042339,41.005242435376,5691.145111630749,37.43,44.58,7.149999999999999,FAM
E10,4053.6013490893656,8036.2558938797065,12310.109130385506,13472.179986600244,9418.578637510878,0.9984249402164891,108.80557416851627,1758.767607304121,103.32,114.29,10.970000000000013,FAM
E11,4575.897529633126,8870.94461230181,19524.99232567445,24135.015924320152,19559.118394687026,0.9994924230826796,45.27075613376416,4580.995940450285,40.68,49.86,9.18,FAM
E12,4611.382071139509,9461.408399433267,20202.36154047805,25649.184828144236,21037.802757004727,0.9977654016177734,47.82266451169499,4553.60242181127,42.01,53.63,11.620000000000005,FAM
F1,4815.83341276718,8223.120351516636,4815.83341276718,8223.120351516636,3407.2869387494566,0.9889522996558526,143.82080105760824,140.31926122825323,119.99,0.0,-119.99,FAM
F2,4909.279130936961,8406.34759060202,4909.279130936961,8406.34759060202,3497.068459665058,0.9881336324654734,143.46305186319682,91.71709861504002,119.99,0.0,-119.99,FAM
F3,4759.963999400185,11043.899282409766,20085.030003859847,23113.30582572417,18353.341826323984,0.9996262598837166,108.63891171317123,3838.567877547063,104.48,112.79,8.310000000000002,FAM
F4,5258.789627090296,9907.306711439085,23021.00615904833,27669.452718241166,22410.66309115087,0.9983257690410914,42.484975510022416,5694.189908870757,39.03,45.94,6.909999999999997,FAM
F5,5085.5253044026795,9918.885568216836,20836.099396333655,25573.453703634554,20487.928399231874,0.9969484695755013,63.20843912813858,4709.237926563856,60.34,66.08,5.739999999999995,FAM
F6,4977.614577545018,10004.47708975244,22271.30098914806,27707.58198325862,22729.967405713604,0.9980799419048515,44.88886984036106,5286.718136480746,41.29,48.49,7.200000000000003,FAM
F7,4983.602062120701,10112.009066059234,22079.01742606087,27890.727094972925,22907.125032852222,0.9948478520660717,42.784477903767566,5149.841618406575,39.7,45.87,6.169999999999995,FAM
F8,4731.026798176075,9585.410169801467,21180.93825792126,26661.30618849023,21930.279390314157,0.9981023134006769,41.96456716677232,4978.453834371826,37.95,45.98,8.029999999999994,FAM
F9,5237.32960318166,10595.184026537028,23604.649851951683,29471.769803013816,24234.440199832155,0.997734875127014,43.563764058471804,5605.957428094526,40.27,46.86,6.589999999999996,FAM
F10,3906.5250939876933,7698.096986857788,11364.525721882348,12208.335702486866,8301.810608499172,0.9958706506499831,109.25225219896528,1483.3504799658758,103.25,115.26,12.010000000000005,FAM
F11,5027.85756997653,9962.083369194199,22335.99621721008,27458.359165738955,22430.501595762427,0.9921834003680116,52.31289372295902,5274.663414010177,42.95,61.68,18.729999999999997,FAM
F12,5084.436625647054,10832.633437897079,23428.801455444675,29435.11525647562,24350.678630828566,0.9997126873803734,55.15238333892785,5307.885065869644,47.74,62.57,14.829999999999998,FAM
G1,4120.579558174313,9233.138858727096,16659.195955812465,19088.28142559586,14967.701867421545,0.9995767163697141,109.52092977208494,3159.157380999063,105.56,113.48,7.920000000000002,FAM
G2,4213.188363733699,10098.673341916678,19212.558769472515,22964.78384241419,18751.59547868049,0.9984655202850301,98.07149654146376,3879.7109779926313,94.24,101.9,7.660000000000011,FAM
G3,4541.233513627777,10666.387775385287,19748.98147032444,22020.36902364584,17479.135510018063,0.9979144724401283,111.62191888590286,3859.6700145711575,107.36,115.89,8.530000000000001,FAM
G4,4888.89574004552,10035.528111603742,23100.425874027325,28630.737640483723,23741.8419004382,0.9987876504675746,41.568851123445924,5631.024013488148,38.03,45.11,7.079999999999998,FAM
G5,5045.497001751182,10512.71914579966,23726.323583268982,29742.08887827662,24696.59187652544,0.9955609983970289,43.90631585965143,5683.184685374924,40.36,47.45,7.090000000000003,FAM
G6,4783.3717353316515,10180.469266242675,21675.21000296614,27218.198578719515,22434.826843387862,0.998117914862065,56.875336705428495,4934.650674475881,53.42,60.33,6.909999999999997,FAM
G7,4551.394786410405,9301.440058552493,20417.687616823277,25657.486197690563,21106.09141128016,0.9985022765845588,46.017820831378984,4775.005406478857,42.2,49.83,7.6299999999999955,FAM
G8,4581.628218170111,9465.035561226317,20377.769774846198,25538.133010080343,20956.504791910233,0.9982645900892256,52.91486262280357,4671.410734326352,48.77,57.06,8.29,FAM
G9,4949.5914924388,10115.499513362476,22452.68440536435,27982.119687943716,23032.528195504914,0.9989940484859736,48.06440638886936,5314.249237075122,44.84,51.29,6.449999999999996,FAM
G10,2249.104422272028,2249.104422272028,2275.003001744065,2324.659765928457,75.55534365642916,0.9887414682260856,2.767704042621269e-10,16.295354444479088,0.0,20.6,20.6,FAM
G11,2291.7609404535597,2291.7609404535597,2315.719134927538,2353.277514846617,61.516574393057454,0.976701168406363,1.5598424772725125e-22,10.730621078522281,0.0,34.86,34.86,FAM
G12,2215.048316766726,2215.048316766726,2241.0388203144,2274.090363270197,59.04204650347083,0.9736555176225118,7.0632535250825565,11.909115939647865,0.0,30.75,30.75,FAM
